date,open,high,low,close,pct
1987-08-28,210.64,211.03,208.85,208.85,-0.85
1987-08-31,208.85,209.75,207.66,209.58,0.35
1987-09-01,209.58,210.78,206.88,206.89,-1.28
1987-09-02,206.89,207.36,204.22,205.73,-0.56
1987-09-03,205.73,207.49,203.69,205.02,-0.35
1987-09-04,205.02,205.85,203.92,204.06,-0.47
1987-09-08,204.06,204.11,197.43,199.9,-2.04
1987-09-09,199.9,201.99,199.83,201.6,0.85
1987-09-10,201.6,205.35,201.6,205.17,1.77
1987-09-11,205.17,206.9,204.95,206.37,0.58
1987-09-14,206.37,207.07,204.34,205.16,-0.58
1987-09-15,205.16,205.16,201.68,202.26,-1.42
1987-09-16,202.26,203.44,201.24,201.3,-0.47
1987-09-17,201.3,202.25,200.71,202.06,0.38
1987-09-18,202.06,202.96,201.16,201.68,-0.19
1987-09-21,201.68,202.22,197.24,197.26,-2.19
1987-09-22,197.26,201.46,196.14,201.43,2.11
1987-09-23,201.43,204.14,201.43,204.08,1.31
1987-09-24,204.08,206.18,203.75,204.64,0.28
1987-09-25,204.64,205.66,204.06,205.12,0.23
1987-09-28,205.12,206.86,204.35,204.63,-0.24
1987-09-29,204.63,205.12,203.76,204.15,-0.23
1987-09-30,204.15,205.7,203.68,205.51,0.66
1987-10-01,205.51,209.73,205.51,209.71,2.04
1987-10-02,209.71,212.23,209.71,212.15,1.16
1987-10-05,212.15,213.83,211.41,213.81,0.78
1987-10-06,213.81,214.03,208.07,208.07,-2.68
1987-10-07,208.07,208.07,205.09,206.89,-0.57
1987-10-08,206.89,207.62,202.5,203.63,-1.58
1987-10-09,203.63,205.12,202.14,202.47,-0.57
1987-10-12,202.47,202.47,197.86,199.63,-1.4
1987-10-13,199.63,202.05,199.02,201.23,0.8
1987-10-14,201.23,201.24,196.39,197.5,-1.86
1987-10-15,197.5,197.5,192.85,193.07,-2.24
1987-10-16,193.07,193.55,182.97,183.29,-5.07
1987-10-19,183.29,183.3,155.63,155.65,-15.08
1987-10-20,155.65,156.76,142.38,143.96,-7.51
1987-10-21,143.96,160.28,143.96,158.78,10.29
1987-10-22,158.78,158.78,149.19,149.99,-5.54
1987-10-23,149.99,149.99,145.04,145.42,-3.04
1987-10-26,145.42,145.42,128.21,128.43,-11.69
1987-10-27,128.43,134.94,128.43,129.87,1.12
1987-10-28,129.87,131.95,126.25,131.21,1.04
1987-10-29,131.21,144.31,131.21,143.64,9.47
1987-10-30,143.64,152.11,143.64,150.07,4.48
1987-11-02,150.07,152.51,148.51,152.2,1.42
1987-11-03,152.2,152.2,143.78,147.14,-3.32
1987-11-04,147.14,149.34,143.86,147.95,0.55
1987-11-05,147.95,153.6,147.78,153.03,3.44
1987-11-06,153.03,154.12,150.57,150.68,-1.54
1987-11-09,150.68,150.68,145.35,146.49,-2.78
1987-11-10,146.49,146.49,143.13,143.45,-2.08
1987-11-11,143.45,147.26,143.45,145.48,1.42
1987-11-12,145.48,151.02,145.48,149.85,3.0
1987-11-13,149.85,150.95,147.94,147.95,-1.26
1987-11-16,147.95,150.63,146.73,147.46,-0.33
1987-11-17,147.46,147.46,142.78,143.57,-2.63
1987-11-18,143.57,145.54,142.15,144.84,0.88
1987-11-19,144.84,145.09,140.9,141.06,-2.61
1987-11-20,141.06,141.23,137.71,140.84,-0.16
1987-11-23,140.84,141.84,139.78,141.84,0.71
1987-11-24,141.84,145.86,141.84,144.66,1.99
1987-11-25,144.66,145.26,143.82,145.0,0.23
1987-11-27,145.0,145.0,143.23,143.35,-1.13
1987-11-30,143.35,143.35,133.14,137.13,-4.35
1987-12-01,137.13,139.37,136.54,137.16,0.03
1987-12-02,137.16,138.6,136.16,137.96,0.58
1987-12-03,137.96,138.88,132.87,132.95,-3.63
1987-12-04,132.95,132.95,129.47,130.44,-1.89
1987-12-07,130.44,133.43,130.44,133.15,2.08
1987-12-08,133.15,136.72,133.15,136.69,2.66
1987-12-09,136.69,140.41,136.0,139.76,2.25
1987-12-10,139.64,141.46,135.41,139.01,-0.53
1987-12-11,139.01,140.17,138.83,139.82,0.58
1987-12-14,139.82,146.35,139.82,146.08,4.48
1987-12-15,146.08,148.23,146.08,146.89,0.55
1987-12-16,146.89,151.29,146.22,151.06,2.84
1987-12-17,151.06,152.79,149.84,149.91,-0.76
1987-12-18,149.91,154.84,149.91,154.75,3.23
1987-12-21,154.75,156.18,154.31,156.02,0.82
1987-12-22,156.02,156.06,153.14,155.56,-0.3
1987-12-23,155.56,158.31,155.56,158.06,1.61
1987-12-24,158.06,158.42,157.38,158.19,0.08
1987-12-28,158.19,158.19,151.8,152.78,-3.42
1987-12-29,152.78,154.69,152.57,154.35,1.02
1987-12-30,154.35,157.59,154.35,157.29,1.9
1987-12-31,157.29,157.29,154.96,156.25,-0.66
1988-01-04,156.25,162.1,156.25,161.81,3.56
1988-01-05,161.81,166.37,161.81,164.28,1.53
1988-01-06,164.28,166.75,163.72,166.18,1.15
1988-01-07,166.18,168.71,163.93,168.7,1.52
1988-01-08,168.7,169.14,158.14,158.2,-6.23
1988-01-11,158.2,158.88,155.24,158.88,0.43
1988-01-12,158.88,159.49,152.15,155.73,-1.98
1988-01-13,155.73,157.0,152.81,155.54,-0.12
